Player,team,Target,Rec,Yard,TD,pos,week,year,h/a,oppt,fd_points,fd_salary,dk_points,dk_salary,all_data,spread,total,money_odds_neg,money_odds_pos
Austin Seferian-Jenkins,TB,3.0,2.0,29.0,0.0,TE,2.0,2015.0,a,NOR,3.9,4500.0,4.9,4100.0,True,9.0,47.0,-475.0,+375
Brandon Myers,TB,2.0,2.0,34.0,0.0,TE,5.0,2015.0,h,JAC,4.4,4500.0,5.4,2500.0,True,-1.0,41.5,-120.0,+100
Michael Hoomanawanui,NO,2.0,2.0,4.0,0.0,TE,5.0,2015.0,a,PHI,-0.6,4600.0,1.4,2500.0,True,6.5,49.5,-275.0,+235
Blake Bell,SF,1.0,1.0,6.0,0.0,TE,5.0,2015.0,a,NYG,1.1,4500.0,1.6,2500.0,True,7.5,44.0,-360.0,+300
Jim Dray,CLE,1.0,1.0,7.0,0.0,TE,5.0,2015.0,a,BAL,1.2,4500.0,1.7,2500.0,True,6.5,43.0,-280.0,+240
Charles Clay,BUF,3.0,1.0,7.0,0.0,TE,5.0,2015.0,a,TEN,1.2,5700.0,1.7,4100.0,True,-1.0,43.0,-115.0, -105
Garrett Graham,HOU,1.0,1.0,8.0,0.0,TE,5.0,2015.0,h,IND,1.3,4600.0,1.8,2500.0,True,-5.0,41.0,-240.0,+200
Jared Cook,STL,6.0,1.0,8.0,0.0,TE,5.0,2015.0,a,GNB,1.3,5200.0,1.8,3000.0,True,9.0,46.0,-460.0,+360
Vance McDonald,SF,3.0,2.0,9.0,0.0,TE,5.0,2015.0,a,NYG,1.9,4600.0,2.9,2500.0,True,7.5,44.0,-360.0,+300
Coby Fleener,IND,3.0,2.0,9.0,0.0,TE,5.0,2015.0,a,HOU,1.9,5200.0,2.9,3200.0,True,5.0,41.0,-240.0,+200
Tim Wright,DET,5.0,3.0,12.0,0.0,TE,5.0,2015.0,h,ARI,2.7,4500.0,4.2,2500.0,True,4.5,46.0,-215.0,+185
Lance Kendricks,STL,3.0,2.0,16.0,0.0,TE,5.0,2015.0,a,GNB,2.6,4600.0,3.6,2500.0,True,9.0,46.0,-460.0,+360
Luke Willson,SEA,3.0,2.0,17.0,0.0,TE,5.0,2015.0,a,CIN,2.7,4500.0,3.7,2500.0,True,3.0,44.5,-170.0,+150
Julius Thomas,JAC,2.0,2.0,20.0,0.0,TE,5.0,2015.0,a,TAM,3.0,5200.0,4.0,4500.0,True,1.0,41.5,-120.0,+100
Dwayne Allen,IND,1.0,1.0,21.0,0.0,TE,5.0,2015.0,a,HOU,2.6,4900.0,3.1,2900.0,True,5.0,41.0,-240.0,+200
Nick Boyle,BAL,3.0,3.0,27.0,0.0,TE,5.0,2015.0,h,CLE,4.2,4500.0,5.7,2500.0,True,-6.5,43.0,-280.0,+240
Brandon Pettigrew,DET,5.0,3.0,29.0,0.0,TE,5.0,2015.0,h,ARI,4.4,4500.0,5.9,2500.0,True,4.5,46.0,-215.0,+185
Jimmy Graham,SEA,5.0,3.0,30.0,0.0,TE,5.0,2015.0,a,CIN,4.5,6600.0,6.0,6100.0,True,3.0,44.5,-170.0,+150
Martellus Bennett,CHI,11.0,4.0,32.0,0.0,TE,5.0,2015.0,a,KAN,5.2,5900.0,7.2,5000.0,True,9.5,44.5,-475.0,+375
Jason Witten,DAL,6.0,5.0,33.0,0.0,TE,5.0,2015.0,h,NWE,3.8,5700.0,7.3,4500.0,True,8.5,50.5,-420.0,+350
Clive Walford,OAK,1.0,1.0,33.0,0.0,TE,5.0,2015.0,h,DEN,3.8,4500.0,4.3,2500.0,True,5.5,45.0,-250.0,+210
Craig Stevens,TEN,2.0,1.0,1.0,0.0,TE,5.0,2015.0,h,BUF,0.6,4500.0,1.1,2500.0,True,1.0,43.0,-115.0, -105
Owen Daniels,DEN,5.0,0.0,0.0,0.0,TE,5.0,2015.0,a,OAK,0.0,4900.0,0.0,2700.0,True,-5.5,45.0,-250.0,+210
Jack Doyle,IND,2.0,1.0,0.0,0.0,TE,5.0,2015.0,a,HOU,0.5,4500.0,1.0,2500.0,True,5.0,41.0,-240.0,+200
Gary Barnidge,CLE,9.0,3.0,39.0,2.0,TE,6.0,2015.0,h,DEN,17.4,5700.0,18.9,4400.0,True,3.5,42.0,-170.0,+150
Jordan Cameron,MIA,8.0,3.0,30.0,1.0,TE,6.0,2015.0,a,TEN,10.5,5400.0,12.0,3000.0,True,2.5,43.5,-140.0,+120
Dion Sims,MIA,4.0,4.0,33.0,1.0,TE,6.0,2015.0,a,TEN,11.3,4600.0,13.3,2500.0,True,2.5,43.5,-140.0,+120
Ladarius Green,SD,4.0,3.0,35.0,1.0,TE,6.0,2015.0,a,GNB,11.0,5100.0,12.5,3200.0,True,10.5,50.5,-600.0,+450
Antonio Gates,SD,16.0,9.0,95.0,0.0,TE,6.0,2015.0,a,GNB,14.0,5500.0,18.5,4600.0,True,10.5,50.5,-600.0,+450
Delanie Walker,TEN,10.0,8.0,97.0,0.0,TE,6.0,2015.0,h,MIA,13.7,5400.0,17.7,3600.0,True,-2.5,43.5,-140.0,+120
Rob Gronkowski,NE,5.0,3.0,50.0,1.0,TE,6.0,2015.0,a,IND,12.5,8200.0,14.0,7600.0,True,-9.0,54.0,-390.0,+320
Julius Thomas,JAC,13.0,7.0,78.0,1.0,TE,6.0,2015.0,h,HOU,17.3,5200.0,20.8,4000.0,True,-3.0,43.0,-150.0,+130
Jimmy Graham,SEA,12.0,8.0,140.0,0.0,TE,6.0,2015.0,h,CAR,18.0,6300.0,25.0,5400.0,True,-7.0,41.0,-325.0,+270
Ben Watson,NO,12.0,10.0,127.0,1.0,TE,6.0,2015.0,h,ATL,23.7,4900.0,31.7,2500.0,True,3.0,52.5,-165.0,+145
Gavin Escobar,DAL,2.0,0.0,0.0,0.0,TE,5.0,2015.0,h,NWE,0.0,4500.0,0.0,2500.0,True,8.5,50.5,-420.0,+350
Greg Olsen,CAR,11.0,7.0,131.0,1.0,TE,6.0,2015.0,a,SEA,22.6,6300.0,29.1,5500.0,True,7.0,41.0,-325.0,+270
Matt Spaeth,PIT,1.0,0.0,0.0,0.0,TE,5.0,2015.0,a,SDG,0.0,4500.0,0.0,2500.0,True,4.0,45.5,-210.0,+180
Zach Miller,CHI,1.0,0.0,0.0,0.0,TE,5.0,2015.0,a,KAN,,,0.0,2500.0,False,9.5,44.5,-475.0,+375
Marcedes Lewis,JAC,4.0,0.0,0.0,0.0,TE,5.0,2015.0,a,TAM,0.0,4700.0,0.0,2900.0,True,1.0,41.5,-120.0,+100
Khari Lee,CHI,1.0,0.0,0.0,0.0,TE,5.0,2015.0,a,KAN,,,0.0,2500.0,False,9.5,44.5,-475.0,+375
Josh Hill,NO,1.0,0.0,0.0,0.0,TE,5.0,2015.0,a,PHI,0.0,4800.0,0.0,2500.0,True,6.5,49.5,-275.0,+235
Jermaine Gresham,ARI,1.0,0.0,0.0,0.0,TE,5.0,2015.0,a,DET,0.0,4800.0,0.0,2500.0,True,-4.5,46.0,-215.0,+185
Anthony Fasano,TEN,1.0,0.0,0.0,0.0,TE,5.0,2015.0,h,BUF,0.0,5000.0,0.0,2500.0,True,1.0,43.0,-115.0, -105
Mychal Rivera,OAK,3.0,3.0,33.0,0.0,TE,5.0,2015.0,h,DEN,4.8,4900.0,6.3,2500.0,True,5.5,45.0,-250.0,+210
Travis Kelce,KC,6.0,3.0,35.0,0.0,TE,5.0,2015.0,h,CHI,5.0,6500.0,6.5,5200.0,True,-9.5,44.5,-475.0,+375
Travis Kelce,KC,7.0,5.0,88.0,0.0,TE,6.0,2015.0,a,MIN,11.3,6200.0,13.8,5000.0,True,3.5,43.0,-180.0,+160
Delanie Walker,TEN,6.0,4.0,36.0,0.0,TE,5.0,2015.0,h,BUF,5.6,5400.0,7.6,3800.0,True,1.0,43.0,-115.0, -105
Heath Miller,PIT,2.0,1.0,1.0,0.0,TE,4.0,2015.0,h,BAL,0.6,5500.0,1.1,3700.0,True,3.0,44.0,-150.0,+130
Cory Harkey,STL,1.0,1.0,4.0,0.0,TE,4.0,2015.0,a,ARI,0.9,4500.0,1.4,2500.0,True,7.0,43.5,-320.0,+270
Garrett Graham,HOU,6.0,1.0,6.0,0.0,TE,4.0,2015.0,a,ATL,1.1,4600.0,1.6,2500.0,True,4.5,47.5,-220.0,+180
Kyle Rudolph,MIN,4.0,2.0,7.0,0.0,TE,4.0,2015.0,a,DEN,1.7,5000.0,2.7,3200.0,True,7.0,43.5,-315.0,+265
Vance McDonald,SF,2.0,1.0,7.0,0.0,TE,4.0,2015.0,h,GNB,1.2,4500.0,1.7,2500.0,True,7.5,48.0,-360.0,+300
James Hanna,DAL,1.0,1.0,7.0,0.0,TE,4.0,2015.0,a,NOR,1.2,4500.0,1.7,2500.0,True,3.0,48.5,-155.0,+135
