Player,team,Target,Rec,Yard,TD,Att,Yard.1,TD.1,pos,week,year,h/a,oppt,fd_points,fd_salary,dk_points,dk_salary,all_data,spread,total,money_odds_neg,money_odds_pos,status,cause
Nate Washington,HOU,16.0,9.0,127.0,2.0,0.0,0.0,0.0,WR,7.0,2015.0,a,MIA,29.2,4900.0,36.7,3000.0,True,4.5,45.5,-220.0,+185,Probable,hamstring
Mike Evans,TB,12.0,8.0,164.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,WAS,26.4,7500.0,33.4,6400.0,True,3.0,41.5,-155.0,+135,,
Jarvis Landry,MIA,5.0,5.0,83.0,2.0,1.0,5.0,0.0,WR,7.0,2015.0,h,HOU,23.3,7100.0,25.8,6200.0,True,-4.5,45.5,-220.0,+185,,
Amari Cooper,OAK,6.0,5.0,133.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,SDG,21.8,7300.0,27.3,6500.0,True,3.5,48.5,-185.0,+165,,
Stefon Diggs,MIN,9.0,6.0,108.0,1.0,1.0,9.0,0.0,WR,7.0,2015.0,a,DET,20.7,5800.0,26.7,4200.0,True,1.0,45.0,-120.0,+100,,
Allen Robinson,JAC,9.0,6.0,98.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,BUF,18.8,7000.0,21.8,6400.0,True,3.5,41.5,-185.0,+165,Probable,shin
Julio Jones,ATL,17.0,9.0,92.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,TEN,19.7,9100.0,24.2,9100.0,True,-6.0,45.5,-250.0,+210,,
Danny Amendola,NE,9.0,8.0,86.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,NYJ,18.6,5400.0,22.6,3500.0,True,-7.0,47.5,-325.0,+265,,
Calvin Johnson,DET,7.0,5.0,86.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,MIN,17.1,8400.0,19.6,7700.0,True,-1.0,45.0,-120.0,+100,Probable,ankle
Robert Woods,BUF,13.0,9.0,84.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,JAC,18.9,4900.0,23.4,3300.0,True,-3.5,41.5,-185.0,+165,,
Tyler Lockett,SEA,5.0,5.0,79.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,SFO,16.4,5100.0,18.9,3200.0,True,-6.5,42.0,-300.0,+250,,
Rishard Matthews,MIA,3.0,3.0,75.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,HOU,15.0,6400.0,16.5,4300.0,True,-4.5,45.5,-220.0,+185,,
Antonio Brown,PIT,8.0,6.0,124.0,0.0,1.0,6.0,0.0,WR,7.0,2015.0,a,KAN,16.0,8300.0,22.0,7900.0,True,3.5,41.5,-185.0,+165,,
John Brown,ARI,6.0,4.0,65.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,BAL,14.5,6700.0,16.5,5500.0,True,-10.0,49.5,-500.0,+400,Questionable,hamstring
Chris Conley,KC,7.0,6.0,63.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,PIT,15.3,4800.0,18.3,3000.0,True,-3.5,41.5,-185.0,+165,,
Michael Crabtree,OAK,8.0,6.0,63.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,SDG,15.3,5900.0,18.3,4300.0,True,3.5,48.5,-185.0,+165,,
Michael Floyd,ARI,4.0,3.0,59.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,BAL,13.4,4900.0,14.9,3200.0,True,-10.0,49.5,-500.0,+400,,
Martavis Bryant,PIT,8.0,3.0,45.0,1.0,1.0,13.0,0.0,WR,7.0,2015.0,a,KAN,13.3,6900.0,14.8,4700.0,True,3.5,41.5,-185.0,+165,,
Marcus Easley,BUF,1.0,1.0,58.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,JAC,12.3,4500.0,12.8,3000.0,True,-3.5,41.5,-185.0,+165,Questionable,shoulder
Ryan Grant,WAS,3.0,3.0,54.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,TAM,12.9,,14.4,,False,-3.0,41.5,-155.0,+135,,
Allen Hurns,JAC,8.0,2.0,53.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,BUF,12.3,6900.0,13.3,5300.0,True,3.5,41.5,-185.0,+165,Probable,ankle
Kendall Wright,TEN,8.0,4.0,46.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,ATL,12.6,5700.0,14.6,5200.0,True,6.0,45.5,-250.0,+210,,
Eric Decker,NYJ,12.0,6.0,94.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,NWE,12.4,6200.0,15.4,5300.0,True,7.0,47.5,-325.0,+265,,
Donte Moncrief,IND,6.0,4.0,34.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,NOR,11.4,6500.0,13.4,5200.0,True,-5.0,53.0,-240.0,+200,,
Keenan Allen,SD,13.0,9.0,89.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,OAK,13.4,8100.0,17.9,7700.0,True,-3.5,48.5,-185.0,+165,Questionable,hip
Jeremy Kerley,NYJ,4.0,3.0,27.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,NWE,10.2,4900.0,11.7,3000.0,True,7.0,47.5,-325.0,+265,,
Devin Street,DAL,1.0,1.0,25.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,NYG,9.0,4700.0,9.5,3000.0,True,3.0,44.5,-160.0,+140,,
Brandin Cooks,NO,13.0,6.0,81.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,IND,11.1,6700.0,14.1,5500.0,True,5.0,53.0,-240.0,+200,,
Steve Smith,BAL,9.0,5.0,78.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,ARI,10.3,6900.0,12.8,6200.0,True,10.0,49.5,-500.0,+400,,
Albert Wilson,KC,6.0,3.0,71.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,PIT,8.6,4500.0,10.1,3000.0,True,-3.5,41.5,-185.0,+165,,
Terrance Williams,DAL,7.0,4.0,70.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,NYG,9.0,5900.0,11.0,4200.0,True,3.0,44.5,-160.0,+140,,
Rueben Randle,NYG,5.0,2.0,68.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,DAL,7.8,5700.0,8.8,4400.0,True,-3.0,44.5,-160.0,+140,Probable,hamstring
Donteea Dye,TB,1.0,1.0,7.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,WAS,7.2,,7.7,3000.0,False,3.0,41.5,-155.0,+135,,
Brandon Marshall,NYJ,7.0,4.0,67.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,NWE,8.7,8200.0,10.7,7800.0,True,7.0,47.5,-325.0,+265,,
Tavon Austin,STL,7.0,4.0,43.0,0.0,1.0,21.0,0.0,WR,7.0,2015.0,h,CLE,8.4,5800.0,10.4,4500.0,True,-6.0,44.0,-265.0,+225,Questionable,thigh
Jermaine Kearse,SEA,4.0,3.0,64.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,SFO,7.9,5700.0,9.4,3600.0,True,-6.5,42.0,-300.0,+250,,
Chris Hogan,BUF,11.0,6.0,56.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,JAC,8.6,5100.0,11.6,3300.0,True,-3.5,41.5,-185.0,+165,,
Pierre Garcon,WAS,6.0,5.0,55.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,TAM,8.0,6100.0,10.5,5000.0,True,-3.0,41.5,-155.0,+135,,
Julian Edelman,NE,9.0,5.0,54.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,NYJ,7.9,8000.0,10.4,8200.0,True,-7.0,47.5,-325.0,+265,,
Miles Austin,PHI,6.0,4.0,52.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,CAR,7.2,5200.0,9.2,3000.0,True,2.5,46.0,-140.0,+120,,
DeAndre Hopkins,HOU,12.0,6.0,50.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,MIA,8.0,9200.0,11.0,8600.0,True,4.5,45.5,-220.0,+185,,
Steve Johnson,SD,8.0,4.0,50.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,OAK,7.0,5700.0,9.0,3500.0,True,-3.5,48.5,-185.0,+165,Questionable,hamstring
Andre Roberts,WAS,6.0,3.0,49.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,TAM,6.4,4700.0,7.9,3000.0,True,-3.0,41.5,-155.0,+135,,
Jamison Crowder,WAS,5.0,5.0,48.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,TAM,7.3,5800.0,9.8,3700.0,True,-3.0,41.5,-155.0,+135,,
Roddy White,ATL,4.0,3.0,48.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,TEN,6.3,5500.0,7.8,3600.0,True,-6.0,45.5,-250.0,+210,Probable,foot
Travis Benjamin,CLE,8.0,4.0,47.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,STL,4.7,6600.0,7.7,5400.0,True,6.0,44.0,-265.0,+225,,
Andre Johnson,IND,4.0,4.0,44.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,NOR,6.4,5700.0,8.4,4300.0,True,-5.0,53.0,-240.0,+200,,
Dwayne Harris,NYG,2.0,2.0,43.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,DAL,11.3,5000.0,12.3,3300.0,True,-3.0,44.5,-160.0,+140,,
Nick Williams,ATL,5.0,3.0,43.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,TEN,5.8,0.0,7.3,3000.0,True,-6.0,45.5,-250.0,+210,,
Kenny Britt,STL,2.0,1.0,41.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,CLE,4.6,5200.0,5.1,3700.0,True,-6.0,44.0,-265.0,+225,,
Brice Butler,DAL,5.0,2.0,41.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,NYG,5.1,4700.0,6.1,3000.0,True,3.0,44.5,-160.0,+140,Probable,hamstring
Anquan Boldin,SF,7.0,3.0,39.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,SEA,5.4,6300.0,6.9,4500.0,True,6.5,42.0,-300.0,+250,Questionable,hamstring
Larry Fitzgerald,ARI,5.0,3.0,39.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,BAL,5.4,7800.0,6.9,7400.0,True,-10.0,49.5,-500.0,+400,Probable,notinjuryrelated
Greg Jennings,MIA,2.0,2.0,37.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,HOU,4.7,4500.0,5.7,3000.0,True,-4.5,45.5,-220.0,+185,,
Mike Wallace,MIN,5.0,4.0,36.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,DET,5.6,5400.0,7.6,4200.0,True,1.0,45.0,-120.0,+100,,
Lucky Whitehead,DAL,0.0,0.0,0.0,0.0,4.0,35.0,0.0,WR,7.0,2015.0,a,NYG,3.5,4600.0,3.5,3000.0,True,3.0,44.5,-160.0,+140,,
Jarius Wright,MIN,6.0,3.0,31.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,DET,4.6,4900.0,6.1,3000.0,True,1.0,45.0,-120.0,+100,Probable,hand
Adam Thielen,MIN,2.0,1.0,30.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,DET,3.5,4500.0,4.0,3000.0,True,1.0,45.0,-120.0,+100,,
Louis Murphy,TB,1.0,1.0,29.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,WAS,3.4,5000.0,3.9,3000.0,True,3.0,41.5,-155.0,+135,,
Dontrelle Inman,SD,2.0,2.0,26.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,OAK,3.6,5100.0,4.6,3000.0,True,-3.5,48.5,-185.0,+165,,
Chris Givens,BAL,2.0,1.0,31.0,0.0,1.0,-6.0,0.0,WR,7.0,2015.0,a,ARI,3.0,4500.0,3.5,3000.0,True,10.0,49.5,-500.0,+400,,
