,Player,home,week,dk_salary,total,dk_points,lag_one,lag_two,lag_three
423,Adrian Peterson,a,7.0,7600.0,45.0,14.0,6.7,19.4,27.6
504,Ahmad Bradshaw,h,7.0,3000.0,53.0,2.3,2.6,,
579,Alfred Blue,a,7.0,3300.0,45.5,0.8,4.3,1.7,22.9
576,Alfred Morris,h,7.0,3300.0,41.5,1.7,4.2,1.5,8.5
429,Ameer Abdullah,h,7.0,4000.0,45.0,4.3,9.9,2.6,6.4
406,Andre Ellington,h,7.0,4300.0,49.5,7.9,7.4,12.3,13.6
505,Andre Williams,h,7.0,3000.0,44.5,1.3,0.6,0.0,5.5
599,Anthony Dixon,a,7.0,3000.0,41.5,0.0,0.0,6.9,4.0
594,Anthony Sherman,h,7.0,3000.0,41.5,0.0,2.3,0.0,0.0
410,Antonio Andrews,h,7.0,3300.0,45.5,5.7,3.5,14.4,13.1
490,Arian Foster,a,7.0,7500.0,45.5,29.5,22.2,20.8,5.5
440,Benny Cunningham,h,7.0,3300.0,44.0,4.4,4.8,2.4,5.0
598,Bernard Pierce,h,7.0,3000.0,41.5,0.0,0.6,0.0,2.4
564,Bishop Sankey,h,7.0,3400.0,45.5,0.0,3.0,7.3,6.1
572,Bobby Rainey,a,7.0,3000.0,41.5,1.4,0.0,0.0,0.0
405,Branden Oliver,h,7.0,3000.0,48.5,13.4,10.3,0.0,0.0
559,Bruce Miller,h,7.0,3000.0,42.0,0.0,11.9,4.3,0.0
560,CJ Spiller,a,7.0,3300.0,53.0,10.8,6.7,3.2,21.9
568,Cameron Artis-Payne,h,7.0,3000.0,46.0,0.0,2.5,0.6,0.0
431,Carlos Hyde,h,7.0,4600.0,42.0,4.0,8.0,16.7,3.2
486,Charcandrick West,h,7.0,4200.0,41.5,23.9,3.9,4.6,3.1
413,Charles Sims,a,7.0,3600.0,41.5,7.6,17.6,14.3,13.2
603,Chase Reynolds,h,7.0,3000.0,44.0,0.0,0.0,0.0,
424,Chris Ivory,a,7.0,5800.0,47.5,13.3,31.6,25.6,8.0
485,Chris Johnson,h,7.0,4300.0,49.5,21.2,5.5,13.3,12.4
435,Chris Polk,a,7.0,3000.0,45.5,3.8,4.9,4.2,14.0
437,Christine Michael,a,7.0,3000.0,44.5,3.0,0.6,-0.1,
441,Damien Williams,h,7.0,3000.0,45.5,3.9,0.5,1.1,3.2
506,Dan Herron,a,7.0,3000.0,41.5,2.2,3.7,2.8,
488,Danny Woodhead,h,7.0,4600.0,48.5,33.1,12.1,12.6,17.8
569,Darrel Young,h,7.0,3000.0,41.5,0.1,1.8,0.0,0.0
489,Darren McFadden,a,7.0,3100.0,44.5,27.2,16.8,3.1,9.5
452,Darren Sproles,a,7.0,3800.0,46.0,9.0,1.7,4.7,1.7
439,David Johnson,h,7.0,3500.0,49.5,4.4,2.7,12.6,17.1
434,DeAngelo Williams,a,7.0,3200.0,41.5,2.7,-0.1,2.0,0.5
415,DeMarco Murray,a,7.0,6400.0,46.0,9.0,24.3,25.0,6.8
558,Denard Robinson,h,7.0,3000.0,41.5,0.0,6.8,0.9,6.5
426,Devonta Freeman,a,7.0,7900.0,45.5,18.0,38.6,35.7,37.9
414,Dexter McCluster,h,7.0,3200.0,45.5,12.8,13.2,2.8,5.2
583,Donald Brown,h,7.0,3000.0,48.5,0.0,,,
468,Doug Martin,a,7.0,4900.0,41.5,23.1,39.8,28.3,4.6
601,Dri Archer,a,7.0,,41.5,,,,
419,Duke Johnson,a,7.0,4200.0,44.0,16.0,8.6,13.7,26.6
563,Fozzy Whittaker,h,7.0,3000.0,46.0,0.0,4.3,2.0,2.4
418,Frank Gore,h,7.0,4900.0,53.0,12.5,11.4,15.8,12.7
446,Fred Jackson,a,7.0,3000.0,42.0,7.5,2.7,6.4,7.4
519,Isaiah Crowell,a,7.0,3800.0,44.0,0.9,6.1,16.7,15.5
589,Jalston Fowler,h,7.0,3000.0,45.5,0.0,0.0,0.0,6.9
443,James White,h,7.0,3000.0,47.5,6.0,0.0,7.4,0.0
573,Jamize Olawale,a,7.0,3000.0,48.5,0.4,1.3,-0.1,5.5
448,Javorius Allen,a,7.0,3500.0,49.5,4.5,3.1,5.8,1.9
587,Jay Prosch,a,7.0,3000.0,45.5,0.0,0.0,0.0,0.0
450,Jerick McKinnon,a,7.0,3000.0,45.0,4.7,0.2,0.6,1.8
592,Jerome Felton,a,7.0,3000.0,41.5,0.0,0.0,0.2,0.0
447,Joique Bell,h,7.0,3100.0,45.0,5.5,7.4,3.8,6.1
411,Jonas Gray,h,7.0,3000.0,45.5,6.8,4.6,0.0,4.9
565,Jonathan Grimes,a,7.0,3000.0,45.5,0.0,0.0,7.8,10.7
425,Jonathan Stewart,h,7.0,4000.0,46.0,15.5,21.6,5.0,5.2
581,Jordan Todman,a,7.0,3000.0,41.5,0.0,0.0,0.0,0.0
600,Jorvorskie Lane,a,7.0,3000.0,41.5,0.0,0.0,0.0,0.0
438,Joseph Randle,a,7.0,5500.0,44.5,2.4,11.3,8.6,30.5
421,Justin Forsett,a,7.0,6100.0,49.5,13.4,17.1,30.0,18.0
454,Khiry Robinson,a,7.0,3000.0,53.0,16.1,6.7,5.2,10.1
570,Knile Davis,h,7.0,4000.0,41.5,0.2,3.5,0.2,0.0
416,Kyle Juszczyk,a,7.0,3000.0,49.5,11.5,4.2,12.1,1.3
492,Lamar Miller,h,7.0,4600.0,45.5,41.6,22.8,4.6,9.5
417,Latavius Murray,a,7.0,6100.0,48.5,15.6,8.7,8.1,24.9
427,Le'Veon Bell,a,7.0,8400.0,41.5,20.7,8.8,25.7,31.0
562,LeGarrette Blount,h,7.0,4800.0,47.5,-0.3,23.4,7.4,28.2
420,LeSean McCoy,a,7.0,5500.0,41.5,13.4,17.4,9.6,14.6
588,Malcolm Johnson,a,7.0,3000.0,44.0,0.0,1.0,0.0,0.0
433,Marcel Reece,a,7.0,3000.0,48.5,4.5,18.5,3.6,6.6
604,Marcus Murphy,a,7.0,3000.0,53.0,0.0,0.0,0.0,0.0
487,Mark Ingram,a,7.0,6300.0,53.0,25.8,20.6,9.4,18.8
484,Marshawn Lynch,a,7.0,6900.0,42.0,21.2,12.4,3.3,9.2
574,Matt Asiata,a,7.0,3000.0,45.0,2.5,4.5,0.3,3.5
408,Matt Jones,h,7.0,3200.0,41.5,8.1,10.7,1.1,2.8
442,Melvin Gordon,h,7.0,4200.0,48.5,2.9,1.9,15.4,6.6
567,Michael Burton,h,7.0,3000.0,45.0,0.0,0.0,1.6,1.3
580,Mike Davis,h,7.0,3000.0,42.0,0.0,0.0,2.1,3.8
453,Mike Tolbert,h,7.0,3000.0,46.0,14.8,1.0,0.7,7.4
422,Orleans Darkwa,h,7.0,3000.0,44.5,10.8,0.0,0.0,0.0
566,Patrick DiMarco,a,7.0,3000.0,45.5,0.0,3.8,0.0,0.0
597,Raheem Mostert,a,7.0,3000.0,49.5,0.0,,,
436,Rashad Jennings,h,7.0,4000.0,44.5,1.9,10.3,10.7,17.2
445,Reggie Bush,h,7.0,3500.0,42.0,6.4,-0.1,1.6,0.8
451,Robert Turbin,a,7.0,3000.0,44.0,5.8,2.7,,
593,Roosevelt Nix,a,7.0,3000.0,41.5,0.0,0.0,0.0,0.0
571,Roy Helu,a,7.0,3000.0,48.5,0.3,4.8,11.5,2.2
483,Ryan Mathews,a,7.0,3200.0,46.0,21.1,5.6,18.6,1.0
412,Shane Vereen,h,7.0,4300.0,44.5,7.2,1.6,25.0,2.1
577,Spencer Ware,h,7.0,3000.0,41.5,0.8,,,
602,Stepfan Taylor,h,7.0,3000.0,49.5,0.0,0.0,1.9,0.0
561,TJ Yeldon,h,7.0,4500.0,41.5,22.4,17.3,15.9,6.2
409,Taiwan Jones,a,7.0,3000.0,48.5,7.2,1.6,2.5,2.8
575,Terron Ward,a,7.0,3000.0,45.5,1.7,1.7,0.0,16.0
432,Tevin Coleman,a,7.0,3600.0,45.5,1.4,3.0,0.3,9.2
428,Theo Riddick,h,7.0,3400.0,45.0,7.8,10.8,21.3,8.6
430,Thomas Rawls,a,7.0,4800.0,42.0,6.1,0.8,25.9,5.7
578,Toby Gerhart,h,7.0,3200.0,41.5,0.8,7.9,0.2,-0.2
491,Todd Gurley,h,7.0,5000.0,44.0,35.3,18.9,21.1,2.4
449,Tommy Bohanon,a,7.0,3000.0,47.5,5.6,0.0,0.0,0.0
590,Tyler Clutts,a,7.0,3000.0,44.5,0.0,0.0,1.4,0.0
595,Will Johnson,a,7.0,3000.0,41.5,0.0,0.0,0.0,0.0
596,Will Tukuafu,a,7.0,3000.0,42.0,0.0,0.0,0.0,0.0
444,Zac Stacy,a,7.0,3000.0,47.5,4.0,8.1,10.5,2.1
407,Zach Line,a,7.0,3000.0,45.0,6.1,1.3,0.0,6.1
591,Zurlon Tipton,h,7.0,3000.0,53.0,0.0,0.0,0.9,
