rank_x,team,ru_att,ru_yds_x,ru_avg_x,ru_td_x,ru_first,week,to_rank,to_plus_minus,to_takeaway_int,to_takeaway_fum,to_giveaway_int,to_giveaway_fum,rank_y,pa_comp,pa_att,pa_pct,pa_yds_x,pa_yds/att_x,pa_yds/rec,pa_td_x,pa_int,pa_qbr,pa_sacks,pa_yds_lost_sack,pa_fd,tot_fum,fum_lost,rank_x,first_tot,first_rush,first_pass,third_conv,third_att,third_pct,fourth_conv,fourth_att,fouth_pct,pen_num,pen_for_first,pen_yds_x,rank_y,tot_yds,ru_yds_y,ru_avg_y,ru_td_y,pa_yds_y,pa_yds/att_y,pa_yds/catch,pa_td_y,kr_yds,pr_yds,pen_yds_y
1,San Francisco49ers,39,230,5.9,2,14,1,14,0,1,0,0,1,28,17,26,65.4%,165,6.3,9.7,0,0,83.0,1,0,8,0,0,4,25,14,8,5,12,42.0%,0,0,-,8,3,57,10,395,230,5.9,2,165,6.3,9.7,0,0,0,57
2,WashingtonRedskins,37,161,4.4,0,6,1,20,-1,0,1,2,0,18,21,31,67.7%,188,6.1,9.3,1,2,67.7,1,8,12,0,0,15,20,6,12,6,14,43.0%,0,1,0.0%,11,2,88,14,349,161,4.4,0,188,6.1,9.3,1,36,23,88
3,BuffaloBills,36,147,4.1,2,7,1,2,3,2,1,0,0,31,14,19,73.7%,195,10.3,13.9,1,0,123.8,0,0,7,0,0,30,15,7,7,5,13,38.0%,0,0,-,11,1,113,16,342,147,4.1,2,195,10.3,13.9,1,0,6,113
3,New YorkJets,36,154,4.3,2,9,1,1,4,1,4,1,0,30,15,24,62.5%,179,7.5,11.9,2,1,95.7,0,0,9,0,0,20,18,9,9,7,13,54.0%,0,1,0.0%,4,0,30,17,333,154,4.3,2,179,7.5,11.9,2,13,13,30
5,CarolinaPanthers,35,105,3.0,0,6,1,4,2,2,1,1,0,22,18,31,58.1%,158,5.1,9.7,1,1,69.0,2,17,10,0,0,24,17,6,10,8,17,47.0%,1,1,100.0%,3,1,22,27,263,105,3.0,0,158,5.1,9.7,1,0,46,22
5,AtlantaFalcons,35,105,3.0,0,3,1,14,0,2,0,2,0,13,23,34,67.6%,290,8.5,13.0,2,2,89.1,1,8,16,0,0,12,21,3,16,4,14,29.0%,0,0,-,7,2,57,10,395,105,3.0,0,290,8.5,13.0,2,59,18,57
7,ChicagoBears,33,189,5.7,1,10,1,20,-1,0,0,1,0,22,18,36,50.0%,213,5.9,12.5,1,1,66.1,2,12,12,0,0,4,25,10,12,11,17,65.0%,2,3,67.0%,6,3,64,6,402,189,5.7,1,213,5.9,12.5,1,63,11,64
8,Kansas CityChiefs,32,97,3.0,0,7,1,4,2,1,1,0,0,15,22,33,66.7%,233,7.1,11.0,3,0,117.4,2,10,12,0,0,17,19,7,12,3,13,23.0%,0,0,-,2,0,25,18,330,97,3.0,0,233,7.1,11.0,3,30,81,25
8,SeattleSeahawks,32,124,3.9,0,10,1,4,2,0,3,1,0,4,32,41,78.0%,219,5.3,7.8,1,1,86.9,6,32,10,0,0,12,21,10,10,8,19,42.0%,1,2,50.0%,7,1,46,15,343,124,3.9,0,219,5.3,7.8,1,56,63,46
8,TennesseeTitans,32,124,3.9,1,7,1,8,1,2,0,0,1,32,13,16,81.3%,185,11.6,16.1,4,0,154.4,2,24,11,0,0,15,20,7,11,4,9,44.0%,0,0,-,8,2,55,21,309,124,3.9,1,185,11.6,16.1,4,17,14,55
